file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_lg_39.dat,7744,7744,1.0,1.0,0.9167,316,405,1029.079,3.218,6984,7595,0.831,0.9998,0.9348,25,472,2352.671,18.077,7160,7160,1.0,1.0,0.5488,417,417,777.564,0.002,6191,6191,1.0,1.0,0.3463,412,412,848.911,0.002,7796,7797,0.9994,0.9999,0.9109,27,519,2418.447,16.781,7560,7560,1.0,1.0,0.7875,507,507,1170.866,0.002
weight_lg_49.dat,7396,7396,1.0,1.0,0.9324,265,400,1328.9,5.3,6643,7373,0.8096,0.9999,0.9412,26,463,1967.397,18.586,6762,6762,1.0,1.0,0.5111,408,408,711.685,0.002,6020,6020,1.0,1.0,0.344,404,404,846.584,0.002,7484,7536,0.9985,0.9992,0.9242,28,514,3235.687,20.033,7362,7362,1.0,1.0,0.8474,510,510,1214.45,0.003
weight_lg_48.dat,7395,7395,1.0,1.0,0.9383,270,399,1214.569,4.989,6723,7292,0.8549,1.0,0.9576,35,462,2052.385,17.564,6746,6746,1.0,1.0,0.5303,404,404,681.117,0.002,5756,5756,1.0,1.0,0.3237,392,392,766.021,0.002,7471,7491,0.9979,0.9999,0.9377,36,505,2414.503,16.461,7177,7177,1.0,1.0,0.8048,494,494,1127.14,0.002
weight_lg_43.dat,7600,7600,1.0,1.0,0.9308,278,399,997.482,4.209,7056,7521,0.9062,1.0,0.9647,27,478,2084.752,18.501,6628,6628,1.0,1.0,0.4665,390,390,685.081,0.002,5941,5941,1.0,1.0,0.3229,390,390,761.688,0.003,7308,7583,0.9509,0.9999,0.9146,29,489,3353.177,18.774,7464,7464,1.0,1.0,0.8585,498,498,1162.342,0.002
weight_lg_42.dat,7574,7574,1.0,1.0,0.9325,286,389,706.274,3.519,7268,7610,0.915,1.0,0.9694,36,488,2210.192,18.705,6614,6614,1.0,1.0,0.4385,380,380,649.797,0.002,5821,5821,1.0,1.0,0.2819,387,387,765.329,0.001,7677,7679,0.9998,0.9998,0.9219,37,506,1481.964,12.072,7303,7303,1.0,1.0,0.7951,496,496,1088.29,0.004
weight_lg_40.dat,7324,7324,1.0,1.0,0.9532,276,388,1030.609,4.296,6914,7458,0.8963,1.0,0.9465,30,489,1822.339,20.388,6555,6555,1.0,1.0,0.4986,395,395,692.269,0.002,5919,5919,1.0,1.0,0.3517,403,403,875.007,0.003,7056,7490,0.9135,0.9998,0.9246,31,495,3363.441,20.196,7272,7273,0.9998,1.0,0.8682,51,515,1394.027,8.535
weight_lg_41.dat,7168,7168,1.0,1.0,0.9362,269,403,1447.736,6.541,6512,7668,0.7354,1.0,0.975,21,441,2003.488,15.14,6559,6559,1.0,1.0,0.5045,401,401,694.124,0.002,5882,5882,1.0,1.0,0.3457,399,399,795.714,0.002,7032,7366,0.9171,0.9999,0.9233,20,489,3263.342,18.597,7185,7185,1.0,1.0,0.836,503,503,1125.573,0.002
weight_lg_45.dat,7355,7355,1.0,1.0,0.9578,263,404,1256.586,5.387,6705,7196,0.8688,1.0,0.9634,19,470,1972.633,18.093,6575,6575,1.0,1.0,0.5355,396,396,673.394,0.003,5912,5912,1.0,1.0,0.3774,394,394,795.308,0.002,7010,7252,0.9369,1.0,0.929,20,493,3544.548,19.429,7250,7250,1.0,1.0,0.8969,20,505,1450.96,9.106
weight_lg_44.dat,7576,7576,1.0,1.0,0.9384,287,413,1166.154,5.437,6945,7619,0.8249,0.9999,0.9617,28,474,2091.458,17.658,7066,7066,1.0,1.0,0.5727,419,419,794.644,0.003,6283,6283,1.0,1.0,0.3902,419,419,920.558,0.002,7566,7630,0.9901,0.9999,0.9216,33,519,3347.745,20.308,7600,7602,0.9998,1.0,0.8667,52,522,1292.435,8.098
weight_lg_46.dat,7565,7565,0.9999,0.9999,0.9378,276,405,986.089,4.845,7004,7510,0.8944,1.0,0.9753,19,490,2030.433,19.576,6797,6797,1.0,1.0,0.5283,402,402,717.8,0.003,6197,6197,1.0,1.0,0.3854,419,419,904.747,0.002,7327,7566,0.948,0.9999,0.9277,23,507,3475.588,20.071,7342,7347,0.9995,1.0,0.8495,21,517,1440.096,9.14
