file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls,weight_price,weight_weight,weight_space,weight_selected,weight_time,weight_price_ls,weight_weight_ls,weight_space_ls,weight_selected_ls,weight_time_ls,side_linear_price,side_linear_weight,side_linear_space,side_linear_selected,side_linear_time,side_linear_price_ls,side_linear_weight_ls,side_linear_space_ls,side_linear_selected_ls,side_linear_time_ls,side_quad_price,side_quad_weight,side_quad_space,side_quad_selected,side_quad_time,side_quad_price_ls,side_quad_weight_ls,side_quad_space_ls,side_quad_selected_ls,side_quad_time_ls,combined_linear_price,combined_linear_weight,combined_linear_space,combined_linear_selected,combined_linear_time,combined_linear_price_ls,combined_linear_weight_ls,combined_linear_space_ls,combined_linear_selected_ls,combined_linear_time_ls,combined_quad_price,combined_quad_weight,combined_quad_space,combined_quad_selected,combined_quad_time,combined_quad_price_ls,combined_quad_weight_ls,combined_quad_space_ls,combined_quad_selected_ls,combined_quad_time_ls
weight_lg_28.dat,10000,100,100,1000,7369,10000,9432,252,1589.483,7369,10000,9432,408,1599.702,6517,7769,9403,32,2597.665,7484,10000,9403,452,2622.37,6798,10000,5673,410,890.697,6798,10000,5673,410,890.715,6090,10000,3923,414,1025.144,6090,10000,3923,414,1025.161,7290,9998,9166,35,4381.372,7290,9998,9166,522,4412.66,7381,10000,8768,33,2059.72,7381,10000,8768,517,2075.135
side_lg_42.dat,10000,100,100,1000,1729,465,9793,18,95.823,1729,465,9793,98,98.686,1640,357,9878,8,81.234,1956,616,9878,103,84.281,2892,936,8533,11,1062.458,2892,936,8533,190,1073.975,2884,984,8261,7,1543.743,2884,984,8261,198,1575.893,2331,612,8984,10,877.033,2829,1014,8984,158,885.959,2502,716,8031,8,1132.892,2908,1026,8031,173,1147.348
weight_lg_14.dat,10000,100,100,1000,7729,10000,9403,306,1254.441,7729,10000,9403,391,1258.444,7367,9264,9480,40,2847.427,7736,9999,9480,496,2875.162,6835,10000,4232,398,844.73,6835,10000,4232,398,844.745,6093,10000,2866,399,952.393,6093,10000,2866,399,952.408,8019,9997,9266,40,2141.669,8021,10000,9266,519,2160.339,7487,10000,7458,504,1406.394,7487,10000,7458,504,1406.412
side_lg_9.dat,10000,100,100,1000,2026,622,9162,21,228.796,2026,622,9162,126,235.778,1735,407,9740,9,123.248,2152,710,9740,109,127.057,2797,892,8485,12,1975.168,2797,892,8485,184,1999.018,2769,934,8175,10,1325.329,2769,934,8175,189,1337.941,2310,607,9023,8,468.778,2668,889,9023,150,477.012,2517,721,8093,10,1174.854,2781,919,8093,169,1191.801
weight_sm_16.dat,10000,100,100,1000,3363,4894,9805,45,434.271,3363,4894,9805,194,443.52,2745,3111,9798,12,404.349,4856,9970,9798,181,414.223,4565,7669,9092,26,2801.959,4565,7669,9092,302,2821.436,4435,7725,8159,23,3047.775,4435,7725,8159,307,3069.406,3510,4565,9429,15,1223.397,5126,9999,9429,240,1238.948,3801,5685,8589,15,2177.125,5094,9995,8589,272,2197.294
side_sm_40.dat,10000,100,100,1000,1785,1221,9869,20,89.26,1785,1221,9869,107,92.216,1696,1070,9653,8,156.035,2376,2060,9653,123,161.512,2836,2131,8362,13,1095.226,2836,2131,8362,193,1107.125,2855,2223,8446,10,1270.729,2855,2223,8446,200,1282.468,2199,1416,9226,11,352.545,2637,2289,9226,157,359.454,2497,1698,8001,12,1582.161,2756,2345,8001,180,1596.808
side_sm_42.dat,10000,100,100,1000,2168,1764,9656,21,209.496,2168,1764,9656,135,216.664,1646,1128,9885,9,116.141,2130,2172,9885,112,120.309,2896,2654,8709,12,997.209,2896,2654,8709,198,1010.528,2788,2637,7921,12,1657.27,2788,2637,7921,198,1673.667,2196,1604,8955,11,441.372,2816,2828,8955,152,450.861,2373,1832,8805,11,859.334,3181,3119,8805,169,869.706
weight_sm_14.dat,10000,100,100,1000,2693,4321,9705,47,423.003,2693,4321,9705,161,431.427,2247,3131,9821,8,387.629,4671,9999,9821,172,399.045,4084,7297,8784,16,3114.034,4084,7297,8784,282,3136.717,4109,7672,8764,14,3801.613,4109,7672,8764,298,3824.371,2579,3655,9326,10,799.304,4825,10000,9326,192,813.525,3039,4716,8993,10,1707.854,4820,10000,8993,231,1726.24
weight_sm_28.dat,10000,100,100,1000,3197,5187,9617,36,521.228,3197,5187,9617,208,540.326,2653,2664,9483,14,833.063,5184,9999,9483,184,847.579,4239,7287,8554,19,2416.687,4239,7287,8554,295,2443.615,4284,7671,8509,19,3886.379,4284,7671,8509,306,3909.306,2939,3606,9098,17,1113.458,5281,10000,9098,215,1132.813,3284,4565,9122,17,1829.933,5244,10000,9122,245,1853.108
weight_lg_8.dat,10000,100,100,1000,7680,10000,9521,291,1749.646,7680,10000,9521,414,1757.171,6818,8038,9454,36,2948.024,7754,10000,9454,469,2972.639,7024,10000,5771,410,896.25,7024,10000,5771,410,896.267,6474,10000,4408,422,1305.017,6474,10000,4408,422,1305.035,7243,9740,9118,37,5278.679,7406,9999,9118,524,5310.415,7447,9993,8624,36,2165.559,7450,10000,8624,523,2182.945
uniform_9.dat,10000,100,100,1000,3043,2345,9791,37,420.738,3043,2345,9791,186,432.671,2684,1368,9716,13,472.116,4940,4910,9716,177,483.467,4424,3868,8829,15,2905.41,4424,3868,8829,303,2933.73,4391,3976,8495,14,3996.406,4391,3976,8495,315,4020.844,3222,2310,9285,12,1080.945,5081,5476,9285,235,1097.456,3626,2740,8702,13,2184.822,5077,5212,8702,272,2211.712
weight_lg_16.dat,10000,100,100,1000,7325,10000,9367,269,1353.202,7325,10000,9367,397,1361.382,6763,8449,9615,31,2666.785,7235,9999,9615,462,2693.802,6821,10000,5513,405,906.712,6821,10000,5513,405,906.728,5982,10000,3646,395,924.939,5982,10000,3646,395,924.972,7279,9656,9409,30,4381.205,7353,10000,9409,495,4410.373,7276,9998,8527,55,1414.673,7278,10000,8527,497,1429.317
side_lg_40.dat,10000,100,100,1000,1740,527,9634,16,169.171,1740,527,9634,106,172.903,1745,457,9533,4,156.086,2111,813,9533,116,161.305,2875,1039,8627,7,1211.736,2875,1039,8627,201,1225.153,2806,1038,8036,3,1628.431,2806,1038,8036,202,1643.092,2277,690,8306,5,681.884,2674,1093,8306,163,693.781,2654,890,8301,7,1132.405,2890,1118,8301,197,1146.813
side_sm_8.dat,10000,100,100,1000,1926,1463,9720,17,147.455,1926,1463,9720,109,151.173,1224,736,9507,4,113.564,1729,1901,9507,80,117.144,2834,2424,8394,8,1076.038,2834,2424,8394,184,1086.606,2785,2525,8140,8,1550.438,2785,2525,8140,192,1565.093,2106,1507,9359,8,298.724,2519,2331,9359,138,304.004,2422,1932,8589,6,852.968,2980,3021,8589,168,863.07
uniform_28.dat,10000,100,100,1000,3454,2578,9598,39,559.577,3454,2578,9598,210,574.703,2713,1812,9828,27,571.088,4983,5354,9828,195,583.631,4558,3810,8829,24,2754.891,4558,3810,8829,300,2779.406,4570,4089,8646,20,4043.442,4570,4089,8646,324,4077.154,3528,2504,9167,16,1337.567,5510,5710,9167,255,1358.743,3832,2909,8635,17,3023.16,5085,5043,8635,278,3051.088
uniform_14.dat,10000,100,100,1000,3667,2653,9730,61,645.333,3667,2653,9730,213,656.754,3161,1823,9656,16,592.181,5878,5995,9656,213,604.129,4924,4314,8566,22,3306.33,4924,4314,8566,334,3330.923,4905,4408,8396,19,4250.125,4905,4408,8396,343,4276.631,3908,2720,9427,23,1709.815,6119,6027,9427,274,1729.257,4242,3316,8744,22,3527.461,5680,5394,8744,303,3551.602
uniform_15.dat,10000,100,100,1000,3049,2306,9719,48,466.09,3049,2306,9719,184,476.093,3019,1888,9628,8,699.684,4671,4898,9628,207,713.406,4539,3960,8641,13,2881.317,4539,3960,8641,316,2903.549,4519,4013,8428,12,4064.301,4519,4013,8428,323,4088.257,3330,2170,8876,9,1242.491,4799,4816,8876,230,1261.626,4151,3277,8841,11,2830.653,5078,5017,8841,300,2856.775
uniform_29.dat,10000,100,100,1000,3113,2117,9702,37,439.981,3113,2117,9702,177,448.235,2779,1644,9834,11,497.653,4725,4686,9834,187,509.549,4567,3747,8839,17,2921.83,4567,3747,8839,297,2942.76,4587,4071,8696,17,3927.416,4587,4071,8696,321,3950.742,3178,2223,9249,12,1214.783,5438,5902,9249,224,1229.767,3881,2763,8945,16,2502.308,5515,5494,8945,268,2520.267
side_sm_9.dat,10000,100,100,1000,1866,1549,9703,22,120.549,1866,1549,9703,118,125.106,2125,1481,9634,7,241.928,2762,2782,9634,143,249.566,2770,2388,8718,12,1098.577,2770,2388,8718,191,1109.423,2717,2441,8011,9,1348.913,2717,2441,8011,194,1364.284,2249,1776,9153,9,626.18,2559,2599,9153,164,683.205,2424,1929,8267,8,1197.872,2922,2922,8267,174,1211.928
side_lg_41.dat,10000,100,100,1000,1646,563,9562,20,182.001,1646,563,9562,109,188.567,1449,406,9736,7,152.336,1805,730,9736,104,157.229,2347,884,8457,9,922.916,2347,884,8457,167,933.191,2302,909,7906,8,1312.219,2302,909,7906,175,1331.86,1870,579,8927,6,556.469,2319,998,8927,141,568.155,2006,693,8143,7,1311.814,2446,1038,8143,158,1327.69
weight_lg_17.dat,10000,100,100,1000,7843,10000,9320,301,1443.08,7843,10000,9320,402,1447.658,7393,8859,9654,33,3492.82,7821,9999,9654,479,3528.281,6754,10000,4248,390,1000.058,6754,10000,4248,390,1000.076,6109,10000,2968,387,1090.917,6109,10000,2968,387,1090.935,7790,9915,9116,32,5361.209,7838,9999,9116,503,5391.185,7615,9999,7847,495,1614.08,7615,9999,7847,495,1614.113
uniform_8.dat,10000,100,100,1000,3315,2378,9811,59,460.188,3315,2378,9811,189,469.074,2686,1514,9511,12,556.588,4175,4560,9511,181,569.68,4334,3769,8777,21,3216.372,4334,3769,8777,300,3237.328,4356,3808,8718,20,4872.617,4356,3808,8718,308,4914.449,3133,2079,9327,15,1620.116,4336,4653,9327,219,1638.158,3600,2654,8837,18,2245.314,4699,4610,8837,260,2264.912
