file_name,x,y,c,n,price_price,price_weight,price_space,price_selected,price_time,price_price_ls,price_weight_ls,price_space_ls,price_selected_ls,price_time_ls
side_sm_22.dat,10000,100,100,1000,1723,1278,9743,22,110.616,1723,1278,9743,104,114.084
side_sm_36.dat,10000,100,100,1000,1831,1457,9743,19,137.983,1831,1457,9743,115,142.458
weight_sm_48.dat,10000,100,100,1000,3429,4524,9623,69,509.99,3429,4524,9623,194,521.653
side_lg_34.dat,10000,100,100,1000,1593,457,9825,10,96.495,1593,457,9825,94,99.463
side_lg_20.dat,10000,100,100,1000,1781,571,9787,16,149.318,1781,571,9787,110,154.409
uniform_48.dat,10000,100,100,1000,2774,1842,9703,35,374.299,2775,1851,9703,151,380.794
uniform_49.dat,10000,100,100,1000,3536,2627,9715,32,590.807,3536,2627,9715,204,608.334
side_lg_21.dat,10000,100,100,1000,1335,425,9797,15,180.379,1335,425,9797,81,184.477
side_lg_35.dat,10000,100,100,1000,1847,614,9789,23,162.983,1847,614,9789,114,169.455
weight_sm_49.dat,10000,100,100,1000,3653,5016,9767,48,621.153,3653,5016,9767,204,638.6
side_sm_37.dat,10000,100,100,1000,1775,1384,9608,20,156.381,1775,1384,9608,107,160.276
side_sm_23.dat,10000,100,100,1000,1548,1291,9766,20,111.776,1548,1291,9766,99,115.725
side_sm_35.dat,10000,100,100,1000,1912,1205,9638,26,171.525,1912,1205,9638,108,175.482
side_sm_21.dat,10000,100,100,1000,1680,1465,9647,20,188.869,1680,1465,9647,106,194.285
side_lg_23.dat,10000,100,100,1000,1739,546,9782,19,204.446,1739,546,9782,108,212.813
side_lg_37.dat,10000,100,100,1000,1587,413,9607,18,155.388,1587,413,9607,88,157.962
weight_lg_49.dat,10000,100,100,1000,7396,10000,9324,265,1813.239,7396,10000,9324,400,1821.152
weight_lg_48.dat,10000,100,100,1000,7395,10000,9383,270,1526.943,7395,10000,9383,399,1533.989
side_lg_36.dat,10000,100,100,1000,1973,625,9699,21,163.643,1973,625,9699,126,168.804
side_lg_22.dat,10000,100,100,1000,1700,486,9734,21,113.025,1700,486,9734,99,116.444
side_sm_20.dat,10000,100,100,1000,1924,1631,9566,24,165.211,1924,1631,9566,123,170.614
side_sm_34.dat,10000,100,100,1000,1717,1203,9648,19,123.621,1717,1203,9648,103,127.28
side_sm_18.dat,10000,100,100,1000,1489,966,9716,24,99.894,1489,966,9716,91,102.78
side_sm_30.dat,10000,100,100,1000,1364,1154,9700,17,96.799,1364,1154,9700,86,99.886
side_sm_24.dat,10000,100,100,1000,1903,1561,9496,20,189.747,1903,1561,9496,132,197.105
side_lg_26.dat,10000,100,100,1000,1537,378,9775,19,92.301,1537,378,9775,86,94.639
side_lg_32.dat,10000,100,100,1000,1567,501,9871,12,78.259,1567,501,9871,91,80.496
side_lg_33.dat,10000,100,100,1000,2201,724,9745,23,159.773,2201,724,9745,135,164.921
side_lg_27.dat,10000,100,100,1000,1862,557,9694,28,135.657,1862,557,9694,109,139.215
side_sm_25.dat,10000,100,100,1000,2011,1475,9609,18,197.884,2011,1475,9609,126,204.148
side_sm_31.dat,10000,100,100,1000,1770,1301,9787,16,105.722,1770,1301,9787,105,109.099
side_sm_19.dat,10000,100,100,1000,1656,1203,9774,19,106.911,1656,1203,9774,95,109.799
side_sm_27.dat,10000,100,100,1000,1889,1462,9884,16,82.042,1889,1462,9884,111,84.778
side_sm_33.dat,10000,100,100,1000,2030,1540,9707,22,150.687,2030,1540,9707,128,155.671
side_lg_19.dat,10000,100,100,1000,1742,586,9763,18,107.353,1742,586,9763,111,111.041
side_lg_31.dat,10000,100,100,1000,1713,484,9745,24,92.74,1713,484,9745,98,95.373
side_lg_25.dat,10000,100,100,1000,1883,590,9733,20,144.7,1883,590,9733,117,149.511
side_lg_24.dat,10000,100,100,1000,1782,486,9756,26,119.273,1782,486,9756,100,122.209
side_lg_30.dat,10000,100,100,1000,1802,590,9725,15,130.514,1802,590,9725,122,135.759
side_lg_18.dat,10000,100,100,1000,1733,505,9709,21,116.861,1733,505,9709,101,120.395
side_sm_32.dat,10000,100,100,1000,1703,1256,9693,15,125.71,1703,1256,9693,104,129.826
side_sm_26.dat,10000,100,100,1000,1780,1281,9842,20,113.387,1780,1281,9842,103,116.336
side_sm_17.dat,10000,100,100,1000,1483,1233,9698,19,123.306,1483,1233,9698,92,126.662
weight_sm_41.dat,10000,100,100,1000,3376,5004,9729,31,437.992,3376,5004,9729,196,447.656
weight_lg_43.dat,10000,100,100,1000,7600,10000,9308,278,1270.799,7600,10000,9308,399,1277.655
side_lg_15.dat,10000,100,100,1000,1917,565,9499,24,210.037,1917,565,9499,115,217.247
side_lg_29.dat,10000,100,100,1000,2108,681,9540,24,233.638,2108,681,9540,139,240.557
uniform_41.dat,10000,100,100,1000,2942,2377,9843,55,404.97,2942,2377,9843,181,417.418
uniform_40.dat,10000,100,100,1000,2924,2291,9754,43,439.721,2924,2291,9754,176,449.136
side_lg_28.dat,10000,100,100,1000,1422,483,9825,12,113.563,1422,483,9825,100,117.873
side_lg_14.dat,10000,100,100,1000,1703,497,9807,18,104.839,1703,497,9807,104,107.993
weight_lg_42.dat,10000,100,100,1000,7574,10000,9325,286,950.26,7574,10000,9325,389,955.367
weight_sm_40.dat,10000,100,100,1000,3658,4582,9801,39,453.86,3658,4582,9801,199,461.584
side_sm_16.dat,10000,100,100,1000,1628,1131,9822,17,123.671,1628,1131,9822,94,126.403
side_sm_14.dat,10000,100,100,1000,2061,1291,9752,16,169.614,2061,1291,9752,119,174.502
weight_sm_42.dat,10000,100,100,1000,3447,5371,9591,50,508.524,3447,5371,9591,212,521.376
side_sm_28.dat,10000,100,100,1000,1864,1376,9809,21,117.094,1864,1376,9809,113,120.562
weight_lg_40.dat,10000,100,100,1000,7324,10000,9532,276,1280.403,7324,10000,9532,388,1286.527
side_lg_16.dat,10000,100,100,1000,1812,467,9739,20,146.09,1812,467,9739,103,149.787
uniform_42.dat,10000,100,100,1000,3232,2272,9840,64,360.627,3232,2272,9840,188,369.581
uniform_43.dat,10000,100,100,1000,3232,2457,9785,51,467.407,3232,2457,9785,203,479.373
side_lg_17.dat,10000,100,100,1000,2257,620,9656,25,183.479,2257,620,9656,137,188.523
weight_lg_41.dat,10000,100,100,1000,7168,10000,9362,269,2112.104,7168,10000,9362,403,2121.554
side_sm_29.dat,10000,100,100,1000,1764,1231,9787,22,100.327,1764,1231,9787,102,103.15
weight_sm_43.dat,10000,100,100,1000,3182,4840,9802,39,414.618,3182,4840,9802,201,427.196
side_sm_15.dat,10000,100,100,1000,2024,1439,9739,22,126.858,2024,1439,9739,116,130.96
side_sm_39.dat,10000,100,100,1000,1823,1263,9703,16,162.818,1823,1263,9703,111,167.747
side_sm_11.dat,10000,100,100,1000,1841,1378,9500,21,150.843,1841,1378,9500,105,154.353
weight_sm_47.dat,10000,100,100,1000,3023,4572,9736,32,552.709,3023,4572,9736,174,560.739
weight_lg_45.dat,10000,100,100,1000,7355,10000,9578,263,1565.797,7355,10000,9578,404,1573.527
side_lg_13.dat,10000,100,100,1000,2088,654,9619,20,191.138,2088,654,9619,135,197.801
uniform_47.dat,10000,100,100,1000,3429,2648,9813,40,458.997,3429,2648,9813,205,470.007
uniform_46.dat,10000,100,100,1000,3784,2740,9778,54,437.733,3784,2740,9778,221,448.248
side_lg_12.dat,10000,100,100,1000,1839,569,9709,23,145.335,1839,569,9709,116,149.687
weight_lg_44.dat,10000,100,100,1000,7576,10000,9384,287,1452.412,7576,10000,9384,413,1460.298
weight_sm_46.dat,10000,100,100,1000,3222,4930,9679,35,411.668,3222,4930,9679,195,422.918
side_sm_10.dat,10000,100,100,1000,1822,1663,9599,28,177.017,1822,1663,9599,125,183.114
side_sm_38.dat,10000,100,100,1000,1790,1302,9751,24,100.588,1790,1302,9751,100,103.348
side_sm_12.dat,10000,100,100,1000,1456,1025,9741,18,81.22,1456,1025,9741,87,83.725
weight_sm_44.dat,10000,100,100,1000,3395,5426,9609,55,531.484,3395,5426,9609,209,543.733
side_lg_38.dat,10000,100,100,1000,1825,575,9764,17,142.548,1825,575,9764,115,147.569
weight_lg_46.dat,10000,100,100,1000,7565,9999,9378,276,1197.472,7565,9999,9378,405,1204.201
side_lg_10.dat,10000,100,100,1000,1715,521,9820,18,94.458,1715,521,9820,100,97.227
uniform_44.dat,10000,100,100,1000,3053,2362,9686,40,436.34,3053,2362,9686,176,445.029
uniform_45.dat,10000,100,100,1000,3046,2184,9751,40,353.449,3046,2184,9751,176,361.481
side_lg_11.dat,10000,100,100,1000,1751,529,9714,19,121.078,1751,529,9714,105,124.875
weight_lg_47.dat,10000,100,100,1000,7368,10000,9391,285,1448.322,7368,10000,9391,401,1455.055
side_lg_39.dat,10000,100,100,1000,1788,581,9685,20,137.616,1788,581,9685,118,142.718
weight_sm_45.dat,10000,100,100,1000,3140,4470,9719,46,394.021,3140,4470,9719,175,401.522
side_sm_13.dat,10000,100,100,1000,1640,1121,9838,14,93.111,1640,1121,9838,96,95.861
weight_sm_36.dat,10000,100,100,1000,3019,4023,9836,39,312.413,3019,4023,9836,174,319.874
weight_sm_22.dat,10000,100,100,1000,3149,4777,9540,44,475.99,3149,4777,9540,191,487.845
side_sm_48.dat,10000,100,100,1000,2165,1699,9683,19,159.316,2165,1699,9683,128,164.018
weight_lg_2.dat,10000,100,100,1000,7938,10000,9460,253,959.289,7938,10000,9460,405,965.67
side_lg_1.dat,10000,100,100,1000,1834,528,9816,19,105.679,1834,528,9816,106,108.678
uniform_3.dat,10000,100,100,1000,3267,2285,9655,41,478.789,3267,2285,9655,192,489.317
weight_lg_20.dat,10000,100,100,1000,7636,10000,9606,266,1731.011,7636,10000,9606,431,1742.641
weight_lg_34.dat,10000,100,100,1000,7587,10000,9281,293,1357.825,7587,10000,9281,398,1363.19
weight_sm_1.dat,10000,100,100,1000,3240,4878,9802,42,673.09,3240,4878,9802,198,684.979
side_sm_2.dat,10000,100,100,1000,1377,1006,9785,20,89.988,1377,1006,9785,82,92.387
uniform_36.dat,10000,100,100,1000,3477,2963,9760,39,492.18,3477,2963,9760,206,502.924
uniform_22.dat,10000,100,100,1000,3622,2776,9720,46,486.983,3622,2776,9720,214,497.073
uniform_23.dat,10000,100,100,1000,3251,2204,9669,59,491.6,3251,2204,9669,182,499.79
uniform_37.dat,10000,100,100,1000,3290,2291,9689,35,418.671,3290,2291,9689,191,428.499
side_sm_3.dat,10000,100,100,1000,1863,1439,9515,24,168.456,1863,1439,9515,106,172.282
weight_sm_0.dat,10000,100,100,1000,3258,4823,9700,31,446.441,3261,4840,9700,195,456.661
weight_lg_35.dat,10000,100,100,1000,7681,10000,9633,276,1391.431,7681,10000,9633,413,1398.241
weight_lg_21.dat,10000,100,100,1000,7502,10000,9427,276,1033.616,7502,10000,9427,391,1038.593
uniform_2.dat,10000,100,100,1000,2999,2147,9687,58,422.966,2999,2147,9687,174,431.532
side_lg_0.dat,10000,100,100,1000,1864,539,9809,19,117.134,1864,539,9809,109,120.216
weight_lg_3.dat,10000,100,100,1000,7685,10000,9431,276,1563.054,7685,10000,9431,416,1570.45
side_sm_49.dat,10000,100,100,1000,1819,1384,9840,22,112.655,1819,1384,9840,114,116.217
weight_sm_23.dat,10000,100,100,1000,3250,4679,9607,41,483.462,3250,4679,9607,191,494.16
weight_sm_37.dat,10000,100,100,1000,3766,5995,9684,31,549.035,3766,5995,9684,233,562.996
weight_sm_21.dat,10000,100,100,1000,3292,4781,9829,60,375.917,3292,4781,9829,195,385.167
weight_sm_35.dat,10000,100,100,1000,3254,4871,9888,34,355.194,3254,4871,9888,198,366.294
weight_lg_1.dat,10000,100,100,1000,7550,10000,9314,286,1000.402,7550,10000,9314,391,1005.035
side_lg_2.dat,10000,100,100,1000,1893,538,9780,19,112.737,1893,538,9780,108,116.147
uniform_0.dat,10000,100,100,1000,3254,2597,9764,57,431.665,3254,2597,9764,192,441.632
weight_lg_37.dat,10000,100,100,1000,7734,10000,9321,297,1174.043,7734,10000,9321,401,1179.768
weight_lg_23.dat,10000,100,100,1000,7482,10000,9192,310,937.827,7482,10000,9192,397,942.528
side_lg_49.dat,10000,100,100,1000,1544,508,9855,17,96.365,1544,508,9855,100,99.958
weight_sm_2.dat,10000,100,100,1000,3239,5060,9483,58,669.15,3239,5060,9483,199,681.587
side_sm_1.dat,10000,100,100,1000,1715,1354,9776,17,104.895,1715,1354,9776,110,110.952
uniform_21.dat,10000,100,100,1000,3044,2143,9758,46,553.689,3044,2143,9758,174,562.512
uniform_35.dat,10000,100,100,1000,2991,2128,9621,36,475.006,2991,2128,9621,161,482.312
uniform_34.dat,10000,100,100,1000,3338,2607,9838,44,431.188,3338,2607,9838,193,440.504
uniform_20.dat,10000,100,100,1000,3188,2303,9728,40,486.46,3188,2303,9728,182,495.538
side_sm_0.dat,10000,100,100,1000,1728,1437,9729,15,278.946,1728,1437,9729,111,285.419
weight_sm_3.dat,10000,100,100,1000,2639,3480,9706,36,1033.304,2639,3480,9706,148,1044.696
side_lg_48.dat,10000,100,100,1000,1770,547,9823,16,206.723,1770,547,9823,107,211.225
weight_lg_22.dat,10000,100,100,1000,7332,10000,9574,257,2007.85,7332,10000,9574,416,2018.015
weight_lg_36.dat,10000,100,100,1000,7619,10000,9071,300,1532.535,7619,10000,9071,392,1536.984
uniform_1.dat,10000,100,100,1000,3314,2332,9606,39,496.211,3314,2332,9606,190,506.822
side_lg_3.dat,10000,100,100,1000,1964,666,9747,23,154.768,1964,666,9747,126,160.383
weight_lg_0.dat,10000,100,100,1000,7466,10000,9554,292,1863.459,7466,10000,9554,404,1874.719
weight_sm_34.dat,10000,100,100,1000,3086,4744,9802,32,611.326,3086,4744,9802,188,621.584
weight_sm_20.dat,10000,100,100,1000,2810,3936,9803,32,321.397,2810,3936,9803,164,330.748
weight_sm_18.dat,10000,100,100,1000,2911,4339,9839,38,367.272,2911,4339,9839,172,376.493
weight_sm_24.dat,10000,100,100,1000,3197,4901,9715,48,630.348,3197,4901,9715,192,641.666
weight_sm_30.dat,10000,100,100,1000,3216,4550,9745,35,435.463,3216,4550,9745,183,444.203
side_lg_7.dat,10000,100,100,1000,1661,489,9758,19,121.669,1661,489,9758,105,125.353
weight_lg_4.dat,10000,100,100,1000,7814,10000,9486,272,1016.781,7814,10000,9486,400,1021.896
uniform_5.dat,10000,100,100,1000,2877,2085,9838,37,373.84,2877,2085,9838,170,382.876
weight_lg_32.dat,10000,100,100,1000,7708,10000,9473,278,1559.407,7708,10000,9473,413,1568.34
